,Nome,Numero de Falas,Numero de Palavras Faladas,Numero de Caracteres Falados,Media de Caracteres por Fala,Media de Palavras por Fala
0,Adriana Alves Pereira Wilken,6,2709,6285,1047.5,451.5
1,Claudinei Oliveira Cruz,13,11938,11113,854.8461538461538,918.3076923076923
2,Julio Cesar Dutra Grillo,6,6136,16205,2700.8333333333335,1022.6666666666666
3,Maria Teresa Viana de Freitas Corujo,27,83346,49287,1825.4444444444443,3086.8888888888887
4,Túlio Almeida Lopes,3,1464,5660,1886.6666666666667,488.0
5,Yuri Rafael de Oliveira Trovão,34,44217,21700,638.2352941176471,1300.5
