,Nome,Numero de Falas,Numero de Palavras Faladas,Numero de Caracteres Falados,Media de Caracteres por Fala,Media de Palavras por Fala
0,Breno Esteves Lasmar,6,901,3095,515.8333333333334,150.16666666666666
1,Julio Cesar Dutra Grillo,2,507,3300,1650.0,253.5
2,Maria Teresa Viana de Freitas Corujo,5,2922,9539,1907.8,584.4
