,Nome,Numero de Falas,Numero de Palavras Faladas,Numero de Caracteres Falados,Media de Caracteres por Fala,Media de Palavras por Fala
0,Adriana Alves Pereira Wilken,8,1976,4529,566.125,247.0
1,Claudinei Oliveira Cruz,2,102,619,309.5,51.0
2,Lúcio Guerra Júnior,19,15702,15381,809.5263157894736,826.421052631579
3,Newton Reis de Oliveira Luz,4,1292,5904,1476.0,323.0
4,Yuri Rafael de Oliveira Trovão,27,17191,14974,554.5925925925926,636.7037037037037
