,Nome,Numero de Falas,Numero de Palavras Faladas,Numero de Caracteres Falados,Media de Caracteres por Fala,Media de Palavras por Fala
0,Evandro Carrusca de Oliveira,12,1855,3171,264.25,154.58333333333334
1,João Carlos de Melo,4,5621,20924,5231.0,1405.25
2,Lúcio Guerra Júnior,14,15985,18691,1335.0714285714287,1141.7857142857142
3,Newton Reis de Oliveira Luz,3,179,985,328.3333333333333,59.666666666666664
4,Paulo Eugênio de Oliveira,5,237,710,142.0,47.4
5,Túlio Almeida Lopes,2,256,1813,906.5,128.0
6,Ubaldina Maria da Costa Isaac,14,1065,1361,97.21428571428571,76.07142857142857
7,Yuri Rafael de Oliveira Trovão,18,8092,10119,562.1666666666666,449.55555555555554
