,Nome,Numero de Falas,Numero de Palavras Faladas,Numero de Caracteres Falados,Media de Caracteres por Fala,Media de Palavras por Fala
0,Adriana Alves Pereira Wilken,12,14291,20352,1696.0,1190.9166666666667
1,Claudinei Oliveira Cruz,11,3555,5066,460.54545454545456,323.1818181818182
2,Fabíola Nunes Derossi,3,838,4454,1484.6666666666667,279.3333333333333
3,Francisco de Assis Lafetá Couto,9,2742,7857,873.0,304.6666666666667
4,João Carlos de Melo,7,2565,7616,1088.0,366.42857142857144
5,Lúcio Guerra Júnior,16,25794,27874,1742.125,1612.125
6,Newton Reis de Oliveira Luz,10,5147,9966,996.6,514.7
7,Paulo Eugênio de Oliveira,2,125,1124,562.0,62.5
8,Túlio Almeida Lopes,2,101,1147,573.5,50.5
9,Yuri Rafael de Oliveira Trovão,24,33212,21756,906.5,1383.8333333333333
