,Nome,Numero de Falas,Numero de Palavras Faladas,Numero de Caracteres Falados,Media de Caracteres por Fala,Media de Palavras por Fala
0,Evandro Carrusca de Oliveira,3,255,1573,524.3333333333334,85.0
1,Newton Reis de Oliveira Luz,4,1077,4970,1242.5,269.25
2,Yuri Rafael de Oliveira Trovão,3,282,1562,520.6666666666666,94.0
