,Nome,Numero de Falas,Numero de Palavras Faladas,Numero de Caracteres Falados,Media de Caracteres por Fala,Media de Palavras por Fala
0,Denise Bernardes Couto,2,299,1910,955.0,149.5
1,João Carlos de Melo,3,112,687,229.0,37.333333333333336
2,Lúcio Guerra Júnior,10,16490,22688,2268.8,1649.0
3,Maria Teresa Viana de Freitas Corujo,2,721,5678,2839.0,360.5
4,Newton Reis de Oliveira Luz,3,841,4171,1390.3333333333333,280.3333333333333
5,Yuri Rafael de Oliveira Trovão,14,6558,10044,717.4285714285714,468.42857142857144
