,Nome,Numero de Falas,Numero de Palavras Faladas,Numero de Caracteres Falados,Media de Caracteres por Fala,Media de Palavras por Fala
0,Claudinei Oliveira Cruz,2,139,922,461.0,69.5
1,Denise Bernardes Couto,10,5837,10016,1001.6,583.7
2,Evandro Carrusca de Oliveira,6,3257,8908,1484.6666666666667,542.8333333333334
3,João Carlos de Melo,4,934,3920,980.0,233.5
4,João Clímaco Soares de Mendonça Filho,23,72917,67416,2931.1304347826085,3170.304347826087
5,Julio Cesar Dutra Grillo,2,716,4837,2418.5,358.0
6,Lúcio Guerra Júnior,2,1553,12657,6328.5,776.5
7,Newton Reis de Oliveira Luz,3,1155,6722,2240.6666666666665,385.0
8,Verônica Ildefonso Cunha Coutinho,10,3222,6924,692.4,322.2
9,Yuri Rafael de Oliveira Trovão,61,199947,56626,928.2950819672132,3277.8196721311474
