,Nome,Numero de Falas,Numero de Palavras Faladas,Numero de Caracteres Falados,Media de Caracteres por Fala,Media de Palavras por Fala
0,Adriana Alves Pereira Wilken,8,3487,7996,999.5,435.875
1,Francisco de Assis Lafetá Couto,6,999,2665,444.1666666666667,166.5
2,João Carlos de Melo,4,1154,3621,905.25,288.5
3,Lúcio Guerra Júnior,20,17298,17795,889.75,864.9
4,Luiz Henrique Passos Rezende,2,510,3022,1511.0,255.0
5,Newton Reis de Oliveira Luz,4,1832,7805,1951.25,458.0
6,Paulo Eugênio de Oliveira,2,175,1102,551.0,87.5
7,Yuri Rafael de Oliveira Trovão,26,16446,12792,492.0,632.5384615384615
