,Nome,Numero de Falas,Numero de Palavras Faladas,Numero de Caracteres Falados,Media de Caracteres por Fala,Media de Palavras por Fala
0,Yuri Rafael de Oliveira Trovão,394,4482636,250454,635.6700507614213,11377.248730964468
1,Claudinei Oliveira Cruz,37,62571,25885,699.5945945945946,1691.1081081081081
2,Luiz Henrique Passos Rezende,39,35454,20722,531.3333333333334,909.0769230769231
3,João Carlos de Melo,36,114588,58716,1631.0,3183.0
4,Maria Teresa Viana de Freitas Corujo,38,155998,91208,2400.2105263157896,4105.210526315789
5,Lúcio Guerra Júnior,218,3111880,283333,1299.6926605504586,14274.678899082568
6,Adriana Alves Pereira Wilken,76,278862,65750,865.1315789473684,3669.2368421052633
7,Newton Reis de Oliveira Luz,50,151074,71066,1421.32,3021.48
