,Nome,Numero de Falas,Numero de Palavras Faladas,Numero de Caracteres Falados,Media de Caracteres por Fala,Media de Palavras por Fala
0,Claudinei Oliveira Cruz,3,612,2906,968.6666666666666,204.0
1,Denise Bernardes Couto,6,1111,2623,437.1666666666667,185.16666666666666
2,Evandro Carrusca de Oliveira,4,388,1499,374.75,97.0
3,João Carlos de Melo,2,214,1567,783.5,107.0
4,Lúcio Guerra Júnior,58,217117,61399,1058.603448275862,3743.396551724138
5,Maria Teresa Viana de Freitas Corujo,2,1266,9421,4710.5,633.0
6,Newton Reis de Oliveira Luz,5,4969,15431,3086.2,993.8
7,Paulo Eugênio de Oliveira,2,37,268,134.0,18.5
8,Yuri Rafael de Oliveira Trovão,53,65536,25012,471.92452830188677,1236.5283018867924
