,Nome,Numero de Falas,Numero de Palavras Faladas,Numero de Caracteres Falados,Media de Caracteres por Fala,Media de Palavras por Fala
0,Adriana Alves Pereira Wilken,16,4562,5377,336.0625,285.125
1,Claudinei Oliveira Cruz,5,471,1670,334.0,94.2
2,João Carlos de Melo,2,348,2347,1173.5,174.0
3,Lúcio Guerra Júnior,26,40804,25914,996.6923076923077,1569.3846153846155
4,Maria Eugênia Monteiro,2,146,1100,550.0,73.0
5,Newton Reis de Oliveira Luz,5,1313,4104,820.8,262.6
6,Paulo Eugênio de Oliveira,3,225,1041,347.0,75.0
7,Yuri Rafael de Oliveira Trovão,36,22168,12327,342.4166666666667,615.7777777777778
