,Nome,Numero de Falas,Numero de Palavras Faladas,Numero de Caracteres Falados,Media de Caracteres por Fala,Media de Palavras por Fala
0,Adriana Alves Pereira Wilken,9,3779,6502,722.4444444444445,419.8888888888889
1,Claudinei Oliveira Cruz,7,1396,2619,374.14285714285717,199.42857142857142
2,Elias Nascimento de Aquino,3,310,1307,435.6666666666667,103.33333333333333
3,João Carlos de Melo,5,498,1933,386.6,99.6
4,Júlio César Nery Ferreira,2,49,347,173.5,24.5
5,Maria Teresa Viana de Freitas Corujo,17,14198,13491,793.5882352941177,835.1764705882352
6,Paulo Eugênio de Oliveira,3,179,962,320.6666666666667,59.666666666666664
7,Ubaldina Maria da Costa Isaac,2,37,230,115.0,18.5
8,Yuri Rafael de Oliveira Trovão,19,6454,5066,266.63157894736844,339.6842105263158
